id,identifier,name,category_id,cost,short_effect
941,electrium-z--bag,Electrium Z,23,0,XXX new effect for electrium-z--bag
942,grassium-z--bag,Grassium Z,23,0,XXX new effect for grassium-z--bag
943,icium-z--bag,Icium Z,23,0,XXX new effect for icium-z--bag
944,fightinium-z--bag,Fightinium Z,23,0,XXX new effect for fightinium-z--bag
945,poisonium-z--bag,Poisonium Z,23,0,XXX new effect for poisonium-z--bag
946,groundium-z--bag,Groundium Z,23,0,XXX new effect for groundium-z--bag
947,flyinium-z--bag,Flyinium Z,23,0,XXX new effect for flyinium-z--bag
948,psychium-z--bag,Psychium Z,23,0,XXX new effect for psychium-z--bag
949,buginium-z--bag,Buginium Z,23,0,XXX new effect for buginium-z--bag
950,rockium-z--bag,Rockium Z,23,0,XXX new effect for rockium-z--bag
951,ghostium-z--bag,Ghostium Z,23,0,XXX new effect for ghostium-z--bag
952,dragonium-z--bag,Dragonium Z,23,0,XXX new effect for dragonium-z--bag
953,darkinium-z--bag,Darkinium Z,23,0,XXX new effect for darkinium-z--bag
954,steelium-z--bag,Steelium Z,23,0,XXX new effect for steelium-z--bag
955,fairium-z--bag,Fairium Z,23,0,XXX new effect for fairium-z--bag
956,pikanium-z--bag,Pikanium Z,23,0,XXX new effect for pikanium-z--bag
957,decidium-z--bag,Decidium Z,23,0,XXX new effect for decidium-z--bag
958,incinium-z--bag,Incinium Z,23,0,XXX new effect for incinium-z--bag
959,primarium-z--bag,Primarium Z,23,0,XXX new effect for primarium-z--bag
960,tapunium-z--bag,Tapunium Z,23,0,XXX new effect for tapunium-z--bag
961,marshadium-z--bag,Marshadium Z,23,0,XXX new effect for marshadium-z--bag
962,aloraichium-z--bag,Aloraichium Z,23,0,XXX new effect for aloraichium-z--bag
963,snorlium-z--bag,Snorlium Z,23,0,XXX new effect for snorlium-z--bag
964,eevium-z--bag,Eevium Z,23,0,XXX new effect for eevium-z--bag
965,mewnium-z--bag,Mewnium Z,23,0,XXX new effect for mewnium-z--bag
966,pikashunium-z--bag,Pikashunium Z,23,0,XXX new effect for pikashunium-z--bag
967,solganium-z--held,Solganium Z,23,0,XXX new effect for solganium-z--held
968,lunalium-z--held,Lunalium Z,23,0,XXX new effect for lunalium-z--held
969,ultranecrozium-z--held,Ultranecrozium Z,23,0,XXX new effect for ultranecrozium-z--held
970,mimikium-z--held,Mimikium Z,23,0,XXX new effect for mimikium-z--held
971,lycanium-z--held,Lycanium Z,23,0,XXX new effect for lycanium-z--held
972,kommonium-z--held,Kommonium Z,23,0,XXX new effect for kommonium-z--held
973,solganium-z--bag,Solganium Z,23,0,XXX new effect for solganium-z--bag
974,lunalium-z--bag,Lunalium Z,23,0,XXX new effect for lunalium-z--bag
975,ultranecrozium-z--bag,Ultranecrozium Z,23,0,XXX new effect for ultranecrozium-z--bag
976,mimikium-z--bag,Mimikium Z,23,0,XXX new effect for mimikium-z--bag
977,lycanium-z--bag,Lycanium Z,23,0,XXX new effect for lycanium-z--bag
978,kommonium-z--bag,Kommonium Z,23,0,XXX new effect for kommonium-z--bag
979,z-power-ring,Z-Power Ring,23,0,XXX new effect for z-power-ring
980,pink-petal,Pink Petal,23,0,XXX new effect for pink-petal
981,orange-petal,Orange Petal,23,0,XXX new effect for orange-petal
982,blue-petal,Blue Petal,23,0,XXX new effect for blue-petal
983,red-petal,Red Petal,23,0,XXX new effect for red-petal
984,green-petal,Green Petal,23,0,XXX new effect for green-petal
985,yellow-petal,Yellow Petal,23,0,XXX new effect for yellow-petal
986,purple-petal,Purple Petal,23,0,XXX new effect for purple-petal
987,rainbow-flower,Rainbow Flower,23,0,XXX new effect for rainbow-flower
988,surge-badge,Surge Badge,23,0,XXX new effect for surge-badge
989,n-solarizer--merge,N-Solarizer,23,0,XXX new effect for n-solarizer--merge
990,n-lunarizer--merge,N-Lunarizer,23,0,XXX new effect for n-lunarizer--merge
991,n-solarizer--split,N-Solarizer,23,0,XXX new effect for n-solarizer--split
992,n-lunarizer--split,N-Lunarizer,23,0,XXX new effect for n-lunarizer--split
993,ilimas-normalium-z,Ilima’s Normalium Z,23,0,XXX new effect for ilimas-normalium-z
994,left-poke-ball,Left Poké Ball,23,0,XXX new effect for left-poke-ball
995,roto-hatch,Roto Hatch,23,0,XXX new effect for roto-hatch
996,roto-bargain,Roto Bargain,23,0,XXX new effect for roto-bargain
997,roto-prize-money,Roto Prize Money,23,0,XXX new effect for roto-prize-money
998,roto-exp-points,Roto Exp. Points,23,0,XXX new effect for roto-exp-points
999,roto-friendship,Roto Friendship,23,0,XXX new effect for roto-friendship
1000,roto-encounter,Roto Encounter,23,0,XXX new effect for roto-encounter
1001,roto-stealth,Roto Stealth,23,0,XXX new effect for roto-stealth
1002,roto-hp-restore,Roto HP Restore,23,0,XXX new effect for roto-hp-restore
1003,roto-pp-restore,Roto PP Restore,23,0,XXX new effect for roto-pp-restore
1004,roto-boost,Roto Boost,23,0,XXX new effect for roto-boost
1005,roto-catch,Roto Catch,23,0,XXX new effect for roto-catch
